iteration	t (millisecond)	n	Ki	Ko	RTF	g_K	E_K	K_conductance	V	i_K	alpha_n	beta_n
390	39	0.3251	90	3	25	36	-85.0299	0.40282	0	34.2518	0.0581977	0.125
391	39.1	0.324964	90	3	25	36	-85.0299	0.402134	0	34.1935	0.0581977	0.125
392	39.2	0.324831	90	3	25	36	-85.0299	0.401462	0	34.1363	0.0581977	0.125
393	39.3	0.3247	90	3	25	36	-85.0299	0.400803	0	34.0802	0.0581977	0.125
394	39.4	0.324571	90	3	25	36	-85.0299	0.400156	0	34.0252	0.0581977	0.125
395	39.5	0.324445	90	3	25	36	-85.0299	0.399522	0	33.9714	0.0581977	0.125
396	39.6	0.324321	90	3	25	36	-85.0299	0.398901	0	33.9185	0.0581977	0.125
397	39.7	0.324199	90	3	25	36	-85.0299	0.398291	0	33.8667	0.0581977	0.125
398	39.8	0.324079	90	3	25	36	-85.0299	0.397694	0	33.8159	0.0581977	0.125
399	39.9	0.323962	90	3	25	36	-85.0299	0.397108	0	33.7661	0.0581977	0.125
